date,action,ticker,name,value,contraticker,contraname
2025-08-27,relation,ZIONP,ZIONS BANCORPORATION NATIONAL ASSOCIATION,,ZION,ZIONS BANCORPORATION NATIONAL ASSOCIATION
2025-08-27,relation,ZION,ZIONS BANCORPORATION NATIONAL ASSOCIATION,,ZIONP,ZIONS BANCORPORATION NATIONAL ASSOCIATION
2025-08-27,relation,ZG,ZILLOW GROUP INC,,Z,ZILLOW GROUP INC
2025-08-27,relation,Z,ZILLOW GROUP INC,,ZG,ZILLOW GROUP INC
2025-08-27,relation,YORKW,YORKVILLE ACQUISITION CORP,,YORK,YORKVILLE ACQUISITION CORP
2025-08-27,relation,YORKU,YORKVILLE ACQUISITION CORP,,YORK,YORKVILLE ACQUISITION CORP
2025-08-27,relation,YORK,YORKVILLE ACQUISITION CORP,,YORKW,YORKVILLE ACQUISITION CORP
2025-08-27,relation,YORK,YORKVILLE ACQUISITION CORP,,YORKU,YORKVILLE ACQUISITION CORP
2025-08-27,relation,YHNAU,YHN ACQUISITION I LTD,,YHNA,YHN ACQUISITION I LTD
2025-08-27,relation,YHNA,YHN ACQUISITION I LTD,,YHNAU,YHN ACQUISITION I LTD
2025-08-27,relation,XOMAP,XOMA ROYALTY CORP,,XOMA,XOMA ROYALTY CORP
2025-08-27,relation,XOMAO,XOMA ROYALTY CORP,,XOMA,XOMA ROYALTY CORP
2025-08-27,relation,XOMA,XOMA ROYALTY CORP,,XOMAP,XOMA ROYALTY CORP
2025-08-27,relation,XOMA,XOMA ROYALTY CORP,,XOMAO,XOMA ROYALTY CORP
2025-08-27,relation,XFLT-PA,XAI OCTAGON FLOATING RATE & ALTERNATIVE INCOME TRUST,,XFLT,XAI OCTAGON FLOATING RATE & ALTERNATIVE INCOME TRUST
2025-08-27,relation,XFLT,XAI OCTAGON FLOATING RATE & ALTERNATIVE INCOME TRUST,,XFLT-PA,XAI OCTAGON FLOATING RATE & ALTERNATIVE INCOME TRUST
2025-08-27,relation,WVVIP,WILLAMETTE VALLEY VINEYARDS INC,,WVVI,WILLAMETTE VALLEY VINEYARDS INC
