Symbol,Reserved1,PrimaryListingMarketParticipantID,PrimaryListingMarketPreviousClosingPrice,ConsolidatedClosingPrice,RoundLotSize,Reserved2,LULDTier,LULDLeverageRatio,Test,IPO,FinancialStatusIndicator,ShortSaleRestrictionIndicator,HaltReason,InstrumentType,Reserved3,Reserved4,Reserved5
AAAA,,Z,25.95,25.95,100,,2,1,0,0,0, , ,0,,,
AAA,,P,25.09,25.09,100,,2,1,0,0,0, , ,0,,,
AAAU,,Z,33.54,33.54,100,,1,1,0,0,0, , ,0,,,
AACT,,N,11.3,11.3,100,,2,1,0,0,0, , ,0,,,
AACT.U,,N,11.86,11.86,100,,2,1,0,0,0, , ,0,,,
AACT.WS,,N,1.3,1.3,100,,0,1,0,0,0, , ,0,,,
AAMI,,N,50.64,50.64,100,,2,1,0,0,0, , ,0,,,
AAM,,N,10.4999,10.4999,100,,2,1,0,0,0, , ,0,,,
AAM.U,,N,10.62,10.62,100,,2,1,0,0,0, , ,0,,,
AAM.WS,,N,0.1698,0.1698,100,,0,1,0,0,0,E, ,0,,,
AA,,N,31.8,31.8,100,,1,1,0,0,0, , ,0,,,
AAP,,N,60.77,60.77,100,,2,1,0,0,0, , ,0,,,
AAPR,,Z,27.69,27.69,100,,2,1,0,0,0, , ,0,,,
AAPW,,Z,37.82,37.82,100,,2,1,0,0,0, , ,0,,,
AAPX,,Z,23.35,23.35,100,,2,2,0,0,0, , ,0,,,
AAPY,,Z,22.9446,22.9446,100,,2,1,0,0,0, , ,0,,,
AAT,,N,20.69,20.69,100,,2,1,0,0,0, , ,0,,,
AAUC,,N,13.95,13.95,100,,2,1,0,0,0, , ,0,,,
ABBV,,N,208.06,208.06,100,,1,1,0,0,0, , ,0,,,
ABCB,,N,73.82,73.82,100,,2,1,0,0,0, , ,0,,,
ABEQ,,P,35.4299,35.4299,100,,2,1,0,0,0, , ,0,,,
ABEV,,N,2.21,2.21,100,,2,1,0,0,0, , ,0,,,
ABFL,,Z,69.59,69.59,100,,2,1,0,0,0, , ,0,,,
ABG,,N,256.61,256.61,100,,2,1,0,0,0, , ,0,,,
ABLD,,Z,29.04,29.04,100,,2,1,0,0,0, , ,0,,,
