standardized_symbol,exchange,_in_t1,_in_t2,_in_t3,_in_t4,_in_t5,_in_t6,_in_t7,_in_t8,_in_t9,confidence_score,lot,halt_reason,sic_code,status,primary_listing,currency,share_class_figi,share_class_shares_outstanding,locale,market_capital_1,margin_requirement_short,sector,name,scalerevenue,earnings_announcement,location,shares_outstanding,figi,type,isin,country,sic_industry,composite_symbol,margin_requirement_long,homepage_url,weighted_shares_outstanding,industry,symbol,scalemarketcap,description,shortable,tradable,short_sale_restricted,composite_figi,sic_description,etf,fama_industry,easy_to_borrow,marginable,maintenance_margin_requirement,branding,cusips,market_capital_2,fama_sector,sic_sector,cik,na_symbol,na_name,na_status,na_lot,na_etf,ny_symbol,ny_status,ny_short_sale_restricted,ny_halt_reason,it_symbol,it_type,it_name,it_currency,it_composite_symbol,it_figi,it_composite_figi,it_share_class_figi,it_primary_listing,ed_symbol,ed_type,ed_name,ed_country,ed_currency,ed_isin,pl_symbol,pl_type,pl_name,pl_locale,pl_status,pl_currency,pl_composite_figi,pl_share_class_figi,pl_share_class_shares_outstanding,pl_cik,pl_sic_code,pl_sic_description,pl_location,pl_market_capital_2,pl_description,pl_homepage_url,pl_branding,pl_weighted_shares_outstanding,sh_symbol,sh_type,sh_name,sh_currency,sh_location,sh_cusips,sh_sic_code,sh_sic_sector,sh_sic_industry,sh_fama_sector,sh_fama_industry,sh_sector,sh_industry,sh_scalemarketcap,sh_scalerevenue,sh_cik,sh_homepage_url,fp_symbol,fp_type,fp_name,fp_market_capital_1,fp_earnings_announcement,fp_shares_outstanding,av_symbol,av_name,av_status,al_symbol,al_name,al_status,al_tradable,al_marginable,al_maintenance_margin_requirement,al_margin_requirement_long,al_margin_requirement_short,al_shortable,al_easy_to_borrow
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,"Cartesian Therapeutics, Inc. Rights (underlying RNAC)",,,,,,,,,,,100.0,,,,816212112,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816212112,"Cartesian Therapeutics, Inc. Rights (underlying RNAC)",inactive,False,False,100.0,100.0,100.0,False,False
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,WTS AETERNA ZENTARIS INC,,,,,,,,,,,100.0,,,,007975113,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007975113,WTS AETERNA ZENTARIS INC,inactive,False,False,100.0,100.0,100.0,False,False
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,ConnectM Technology Solutions Warrant (underlying CNTM; DTC CA ID 144543142),,,,,,,,,,,100.0,,,,207944117,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207944117,ConnectM Technology Solutions Warrant (underlying CNTM; DTC CA ID 144543142),inactive,False,False,100.0,100.0,100.0,False,False
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,Docebo Inc. tender offer contra,,,,,,,,,,,100.0,,,,256992421,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256992421,Docebo Inc. tender offer contra,inactive,False,False,100.0,100.0,100.0,False,False
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,"Elevation Oncology ,Inc. contra security (underlying symbol ELEV; DTC CA ID 150563914)",,,,,,,,,,,100.0,,,,286992540,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286992540,"Elevation Oncology ,Inc. contra security (underlying symbol ELEV; DTC CA ID 150563914)",inactive,False,False,100.0,100.0,100.0,False,False
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,Cummins Inc. tender offer contra (expiration 03/13/24),,,,,,,,,,,100.0,,,,231992017,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231992017,Cummins Inc. tender offer contra (expiration 03/13/24),inactive,False,False,100.0,100.0,100.0,False,False
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,BlackRock Innovation and Growth Contra (underlying symbol BTA; Expiration 07/08/25; DTC CA ID 150266300),,,,,,,,,,,100.0,,,,092992072,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092992072,BlackRock Innovation and Growth Contra (underlying symbol BTA; Expiration 07/08/25; DTC CA ID 150266300),inactive,False,False,100.0,100.0,100.0,False,False
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,"Marinus Pharmaceuticals, Inc. Contra (underlying symbol MRNS; Expiration 02/06/25; DTC CA ID 147755377)",,,,,,,,,,,100.0,,,,568990915,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568990915,"Marinus Pharmaceuticals, Inc. Contra (underlying symbol MRNS; Expiration 02/06/25; DTC CA ID 147755377)",inactive,False,False,100.0,100.0,100.0,False,False
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,TEST DUMMY CUSIP SYMBOL,,,,,,,,,,,100.0,,,,123456782,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123456782,TEST DUMMY CUSIP SYMBOL,inactive,False,False,100.0,100.0,100.0,False,False
,XNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,inactive,,,,,,,100.0,,Ashford Inc contra (underlying AINC; DTC CA ID 143265124),,,,,,,,,,,100.0,,,,044991602,,,False,False,,,,,,False,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044991602,Ashford Inc contra (underlying AINC; DTC CA ID 143265124),inactive,False,False,100.0,100.0,100.0,False,False
