exchange|confidence_score|al_symbol|lot|halt_reason|sic_code|status|primary_listing|currency|share_class_figi|share_class_shares_outstanding|locale|margin_requirement_short|sector|name|scalerevenue|earnings_announcement|location|shares_outstanding|figi|type|isin|country|sic_industry|composite_symbol|margin_requirement_long|homepage_url|weighted_shares_outstanding|industry|symbol|scalemarketcap|description|shortable|tradable|short_sale_restricted|composite_figi|sic_description|fama_industry|easy_to_borrow|marginable|maintenance_margin_requirement|branding|cusips|fama_sector|sic_sector|cik|market_capital|null_count
XNYS|7.0||||6798|Normal|True|USD||3000000.0|us||Real Estate|Rexford Industrial Realty Inc||2025-10-15T12:00:00.000+0000|11620 WILSHIRE BOULEVARD, SUITE 1000, LOS ANGELES, CA, 90025|384464152.0|BBG00J5DSTP3|PRF|US76169C3088|USA|Real Estate Investment Trusts|REXRpB:US||https://www.rexfordindustrial.com||REIT - Industrial|REXRpB||Rexford Industrial Realty Inc is a real estate investment trust engaged in owning, operating, and acquiring industrial properties in Southern California infill markets. The goal is to generate attractive risk-adjusted returns for stockholders by providing superior access to industrial property investments in Southern California infill markets. It has one operating segment business of investing in, operating, and repositioning/redeveloping industrial real estate properties located in Southern California infill markets.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/cmV4Zm9yZGluZHVzdHJpYWwuY29t/images/2025-04-04_logo.svg|76169C308||Finance Insurance And Real Estate|0001571283|8946898113.0|17
XNYS|7.0||||4931|Normal|True|USD||373148.0|us||Utilities|Consumers Energy Co||2025-07-23T10:59:00.000+0000|ONE ENERGY PLAZA, JACKSON, MI, 49201|84108800.0|BBG0000018G2|PRF|US2105183048|USA|Electric & Other Services Combined|CMSpB:US||https://www.consumersenergy.com||Utilities - Regulated Electric|CMSpB||Consumers Energy Co operates as an electric and gas utility in Michigan. The business activity of the group is functioned through three segments namely Electric Utility, Gas Utility, and NorthStar Clean Energy, its non-utility operations and investments. The Electric Utility segment refers to the generation, purchase, transmission, distribution, and sale of electricity. The Gas Utility segment is comprised of the purchase, transmission, storage, distribution, and sale of natural gas. The group serves residential, commercial, and industrial customers. Geographically, it operates through the region of Michigan, USA.|||||ELECTRIC & OTHER SERVICES COMBINED|Utilities||||/Y29uc3VtZXJzZW5lcmd5LmNvbQ/images/2025-04-04_logo.svg|210518304||Transportation Communications Electric Gas And Sanitary Service|0000811156|6540300288.0|17
XNYS|7.0||||2510|Delinquent|True|USD||4000000.0|us||Industrials|Compass Diversified Holdings||2025-08-26T12:00:00.000+0000|301 RIVERSIDE AVENUE, WESTPORT, CT, 06880|31855152.0|BBG00H08SV23|PRF|US20451Q2030|USA|Household Furniture|CODIpA:US||https://compassdiversified.com||Conglomerates|CODIpA||Compass Diversified Holdings is a diversified business conglomerate based in the United States having two groups: branded consumer business and industrial business. Branded consumer businesses are characterized as those businesses that capitalize on a valuable brand name in their respective market sector. It includes 5.11, Ergobaby, Liberty Safe, and Velocity Outdoor. Industrial businesses are characterized as those businesses that focus on manufacturing and selling particular products and industrial services within a specific market sector. The company has operations in the United States, Canada, Europe, Asia Pacific, and other International areas.|||||HOUSEHOLD FURNITURE|Consumer Goods||||/Y29tcGFzc2RpdmVyc2lmaWVkLmNvbQ/images/2025-04-04_logo.svg|20451Q203||Manufacturing|0001345126|571363823.0|17
XNYS|7.0||||6021|Normal|False|USD||14000000.0|us||Financial Services|Synovus Financial Corp.||2025-10-15T12:00:00.000+0000|33 W 14TH STREET, COLUMBUS, GA, 31901|138804000.0|BBG00PK3LVH5|PRF|US87161C7092|USA|National Commercial Banks|SNVpE:US||https://www.synovus.com||Banks - Regional|SNVpE||Synovus Financial Corp provides commercial and consumer banking in addition to a full suite of specialized products & services such as private banking, treasury management, wealth management, mortgage services, premium finance, asset-based lending, structured lending, capital markets, & international banking to clients through the wholly-owned subsidiary bank, Synovus Bank, and other offices in Alabama, Florida, Georgia, South Carolina, and Tennessee. It has four segments Wholesale Banking, Community Banking, Consumer Banking, and Financial Management Services, out of which the majority is from the Wholesale banking segment.|||||NATIONAL COMMERCIAL BANKS|Banking||||/c3lub3Z1cy5jb20/images/2025-04-04_logo.svg|87161C709||Finance Insurance And Real Estate|0000018349|3669977760.0|17
XNYS|7.0||||6021|Normal|True|USD||8000000.0|us||Financial Services|Synovus Financial Corp.||2025-10-15T12:00:00.000+0000|33 W 14TH STREET, COLUMBUS, GA, 31901|265694305.0|BBG00L4P38V8|PRF|US87161C6003|USA|National Commercial Banks|SNVpD:US||https://www.synovus.com||Banks - Regional|SNVpD||Synovus Financial Corp provides commercial and consumer banking in addition to a full suite of specialized products & services such as private banking, treasury management, wealth management, mortgage services, premium finance, asset-based lending, structured lending, capital markets, & international banking to clients through the wholly-owned subsidiary bank, Synovus Bank, and other offices in Alabama, Florida, Georgia, South Carolina, and Tennessee. It has four segments Wholesale Banking, Community Banking, Consumer Banking, and Financial Management Services, out of which the majority is from the Wholesale banking segment.|||||NATIONAL COMMERCIAL BANKS|Banking||||/c3lub3Z1cy5jb20/images/2025-04-04_logo.svg|87161C600||Finance Insurance And Real Estate|0000018349|6854949821.0|17
XNYS|7.0||||2820|Normal|False|USD||1672594.0|us||Basic Materials|E.I. Du Pont De Nemours and Co||2025-07-30T20:00:00.000+0000|9330 ZIONSVILLE ROAD, INDIANAPOLIS, IN, 46268|867806016.0|BBG0000027B8|PRF|US2635343070|USA|Plastic Material Synth Resin/Rubber Cellulos (No Glass)|CTApB:US||https://www.corteva.com||Chemicals|CTApB||EIDP Inc provides Agricultural solutions to the farmers. The company operates in two segments: seed and crop protection. The seed segment develops and supplies commercial seed combining superior germplasm with traits to produce high yield potential for farmers, while the crop protection segment supplies products to protect crop yields against weeds, insects, and disease. Some of its products include Corn, Soybean, oilseeds, Fungicides, Herbicides, and Insecticides. Its geographical segments include United States, EMEA(Europe, the Middle East, and Africa), Canada, Latin America, and the Asia Pacific. Nearly half of the revenue comes from United States.|||||PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)|Chemicals||||/Y29ydGV2YS5jb20/images/2025-04-04_logo.svg|263534307||Manufacturing|0000030554|62482033152.0|17
XNYS|7.0||||6211|Normal|True|USD||8000000.0|us||Financial Services|Goldman Sachs Group, Inc.||2025-10-14T11:30:00.000+0000|200 WEST STREET, NEW YORK, NY, 10282|10398609551.0|BBG000008HQ4|PRF|US38144X6094|USA|Security Brokers Dealers & Flotation Companies|GSpC:US||https://www.goldmansachs.com||Capital Markets|GSpC||Goldman Sachs is a storied financial institution, founded in 1869 and best known for its role as a leading global investment bank. The firm has a sprawling reach across global financial centers and has been the leading provider of global merger and acquisition advisory services, by revenue, for the past 20 years. Since the global financial crisis, Goldman has expanded its offerings into more stable fee-based businesses like asset and wealth management, which comprised roughly 30% of post-provision revenue at the end of 2024. The bank holding company generates revenue from investment banking, global market making and trading, lending, asset management, wealth management, and a small and declining portfolio of consumer credit card loans.|||||SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|Trading||||/Z29sZG1hbnNhY2hzLmNvbQ/images/2025-04-04_logo.svg|38144X609||Finance Insurance And Real Estate|0000886982|227382368315.0|17
XNYS|7.0||||6331|Normal|True|USD||10000000.0|us||Financial Services|Aspen Insurance Hldgs||2025-12-03T12:00:00.000+0000|141 FRONT STREET, HAMILTON, D0, HM 19|129393329.0|BBG00DSQ3278|PRF|BMG053841620|USA|Fire Marine & Casualty Insurance|AHLpD:US||https://www.aspen.co||Insurance - Reinsurance|AHLpD||Aspen Insurance Holdings Ltd is a Bermudian insurance and reinsurance company. Its principal business is marketing and underwriting specialty insurance and reinsurance regularly. It comprises underwriting operations, which include risk-bearing insurance and reinsurance operations; Investing activities, which support underwriting operations; and ACM operations, which earn underwriting, management, and performance fees. It has two segments: Aspen Insurance and Aspen Reinsurance. Aspen Insurance consists of property and casualty insurance, marine, aviation, and energy insurance, and financial and professional lines insurance. Aspen Reinsurance comprises property catastrophe reinsurance, other property reinsurance, casualty reinsurance, and specialty reinsurance.|||||FIRE, MARINE & CASUALTY INSURANCE|Insurance||||/YXNwZW4uY28/images/2025-04-04_logo.png|G05384162||Finance Insurance And Real Estate|0001267395|2684911618.0|17
XNYS|7.0||||2510|Delinquent|False|USD||4600000.0|us||Industrials|Compass Diversified Holdings||2025-08-26T12:00:00.000+0000|301 RIVERSIDE AVENUE, WESTPORT, CT, 06880|28472868.0|BBG00QV3DSC2|PRF|US20451Q4010|USA|Household Furniture|CODIpC:US||https://compassdiversified.com||Conglomerates|CODIpC||Compass Diversified Holdings is a diversified business conglomerate based in the United States having two groups: branded consumer business and industrial business. Branded consumer businesses are characterized as those businesses that capitalize on a valuable brand name in their respective market sector. It includes 5.11, Ergobaby, Liberty Safe, and Velocity Outdoor. Industrial businesses are characterized as those businesses that focus on manufacturing and selling particular products and industrial services within a specific market sector. The company has operations in the United States, Canada, Europe, Asia Pacific, and other International areas.|||||HOUSEHOLD FURNITURE|Consumer Goods||||/Y29tcGFzc2RpdmVyc2lmaWVkLmNvbQ/images/2025-04-04_logo.svg|20451Q401||Manufacturing|0001345126|1498701120.0|17
XNYS|7.0||||6021|Normal|False|USD||17000000.0|us||Financial Services|Keycorp||2025-10-16T10:30:00.000+0000|127 PUBLIC SQ, CLEVELAND, OH, 44114-1306|891102514.0|BBG00LJS16V2|PRF|US4932678760|USA|National Commercial Banks|KEYpJ:US||https://www.key.com||Banks - Regional|KEYpJ||With assets of around $185 billion, Ohio-based KeyCorp's bank footprint spans 16 states, but it is predominantly concentrated in its two largest markets: Ohio and New York. KeyCorp is primarily focused on serving middle-market commercial clients through a hybrid community/corporate bank model.|||||NATIONAL COMMERCIAL BANKS|Banking||||/a2V5LmNvbQ/images/2025-04-04_logo.svg|493267876||Finance Insurance And Real Estate|0000091576|20254760143.0|17
