exchange|confidence_score|al_symbol|lot|halt_reason|sic_code|status|primary_listing|currency|share_class_figi|share_class_shares_outstanding|locale|margin_requirement_short|sector|name|scalerevenue|earnings_announcement|location|shares_outstanding|figi|type|isin|country|sic_industry|composite_symbol|margin_requirement_long|homepage_url|weighted_shares_outstanding|industry|symbol|scalemarketcap|description|shortable|tradable|short_sale_restricted|composite_figi|sic_description|fama_industry|easy_to_borrow|marginable|maintenance_margin_requirement|branding|cusips|fama_sector|sic_sector|cik|market_capital|null_count
XNAS|2.0|ELOG|100.0|||Normal||||||30.0||Eastern International Ltd. - Ordinary Shares|||||||||||30.0||||ELOG|||False|True|||||False|True|30.0|||||||33
XNAS|2.0|NEWTP|100.0|||Normal||||||30.0||NewtekOne, Inc. - Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.500% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B|||||||||||30.0||||NEWTP|||True|True|||||True|True|30.0|||||||33
XNAS|2.0|MULT|100.0|||Normal||||||30.0||Franklin Multisector Income ETF|||||||||||30.0||||MULT|||False|True|||||False|True|30.0|||||||33
XNAS|3.0|ETHMU|100.0|||Normal||||||30.0||Dynamix Corporation - Unit|||||||||||30.0||||ETHMU|||False|True|||||False|True|30.0|||||||33
XNAS|3.0|KOYNU|100.0|||Normal||||||30.0||CSLM Digital Asset Acquisition Corp III - Units|||||||||||30.0||||KOYNU|||False|True|||||False|True|30.0|||||||33
XNAS|2.0|THH|100.0|||Normal||||||30.0||TryHard Holdings Limited - Ordinary Shares|||||||||||30.0||||THH|||False|True|||||False|True|30.0|||||||33
XNYS|3.0|HYAC.U||||Normal||||||30.0||Haymaker Acquisition Corp 4 - Units (1 Ord Class A & 1/2 War)|||||||||||30.0||||HYAC.U|||False|True|||||False|True|30.0|||||||34
XNYS|3.0|EQV.U||||Normal||||||30.0||EQV Ventures Acquisition Corp - Units (1 Ord Cls A & 1/3Warr)|||||||||||30.0||||EQV.U|||False|True|||||False|True|30.0|||||||34
XNYS|3.0|AAM.U||||Normal||||||30.0||AA Mission Acquisition Corp - Units (1 Ord Share Class A & 1/2 War)|||||||||||30.0||||AAM.U|||False|True|||||False|True|30.0|||||||34
XNYS|3.0|RAC.U||||Normal||||||30.0||Rithm Acquisition Corp Units each consists of one Class A Ordinary Share and onethird of one redeemable Warrant|||||||||||30.0||||RAC.U|||False|True|||||False|True|30.0|||||||34
XNYS|3.0|COPL.U||||Normal||||||30.0||Copley Acquisition Corp - Units (1 Ord Cls A & 1/2 War)|||||||||||30.0||||COPL.U|||False|True|||||False|True|30.0|||||||34
XNYS|3.0|JENA.U||||Normal||||||30.0||Jena Acquisition Corporation II Units each consisting of one Class A ordinary share and one right|||||||||||30.0||||JENA.U|||False|True|||||False|True|30.0|||||||34
XNYS|3.0|SBXD.U||||Normal||||||30.0||SilverBox Corp IV Units each consisting of one Class A ordinary share and onethird of one redeemable warrant|||||||||||30.0||||SBXD.U|||False|True|||||False|True|30.0|||||||34
XNYS|3.0|PAII.U||||Normal||||||30.0||Pyrophyte Acquisition Corp II Units each consisting of one Class A ordinary share and onehalf of one redeemable warrant|||||||||||30.0||||PAII.U|||False|True|||||False|True|30.0|||||||34
XNYS|3.0|SOUL.U||||Normal||||||30.0||Soulpower Acquisition Corp - Units (1 Ord Cls A & 1/2 War)|||||||||||30.0||||SOUL.U|||False|True|||||False|True|30.0|||||||34
XNYS|2.0|||M||Normal|||||||||||||||||||||||NTEST.G||||||||||||||||||42
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.Z||||||||||||||||||43
XNYS|1.0|||||Normal|||||||||||||||||||||||PCGpX||||||||||||||||||43
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.Y||||||||||||||||||43
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.O||||||||||||||||||43
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.K||||||||||||||||||43
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.L||||||||||||||||||43
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.J||||||||||||||||||43
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.Q||||||||||||||||||43
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.M||||||||||||||||||43
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.P||||||||||||||||||43
XNYS|2.0|||||Normal|||||||||||||||||||||||NTEST.N||||||||||||||||||43
XNYS|1.0|||||Normal|||||||||||||||||||||||KKRpD||||||||||||||||||43
XNYS|1.0|||||Normal|||||||||||||||||||||||CBOpA||||||||||||||||||43
XNYS|1.0|||||Normal|||||||||||||||||||||||CTEST.A||||||||||||||||||43
XNYS|1.0|||||Normal|||||||||||||||||||||||FOURpA||||||||||||||||||43
