standardized_symbol,exchange,_in_t1,_in_t2,_in_t3,_in_t4,_in_t5,_in_t6,_in_t7,_in_t8,_in_t9,confidence_score,lot,halt_reason,sic_code,status,primary_listing,currency,share_class_figi,share_class_shares_outstanding,locale,market_capital_1,margin_requirement_short,sector,name,scalerevenue,earnings_announcement,location,shares_outstanding,figi,type,isin,country,sic_industry,composite_symbol,margin_requirement_long,homepage_url,weighted_shares_outstanding,industry,symbol,scalemarketcap,description,shortable,tradable,short_sale_restricted,composite_figi,sic_description,etf,fama_industry,easy_to_borrow,marginable,maintenance_margin_requirement,branding,cusips,market_capital_2,fama_sector,sic_sector,cik,na_symbol,na_name,na_status,na_lot,na_etf,ny_symbol,ny_status,ny_short_sale_restricted,ny_halt_reason,it_symbol,it_type,it_name,it_currency,it_composite_symbol,it_figi,it_composite_figi,it_share_class_figi,it_primary_listing,ed_symbol,ed_type,ed_name,ed_country,ed_currency,ed_isin,pl_symbol,pl_type,pl_name,pl_locale,pl_status,pl_currency,pl_composite_figi,pl_share_class_figi,pl_share_class_shares_outstanding,pl_cik,pl_sic_code,pl_sic_description,pl_location,pl_market_capital_2,pl_description,pl_homepage_url,pl_branding,pl_weighted_shares_outstanding,sh_symbol,sh_type,sh_name,sh_currency,sh_location,sh_cusips,sh_sic_code,sh_sic_sector,sh_sic_industry,sh_fama_sector,sh_fama_industry,sh_sector,sh_industry,sh_scalemarketcap,sh_scalerevenue,sh_cik,sh_homepage_url,fp_symbol,fp_type,fp_name,fp_market_capital_1,fp_earnings_announcement,fp_shares_outstanding,av_symbol,av_name,av_status,al_symbol,al_name,al_status,al_tradable,al_marginable,al_maintenance_margin_requirement,al_margin_requirement_long,al_margin_requirement_short,al_shortable,al_easy_to_borrow
ANGPD,XNYS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,, ,6311,Normal,,USD,,,us,,,,"American National Group Inc. Depositary Shares, each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock, Series D",,,"{'address1': '6000 WESTOWN PARKWAY', 'city': 'WEST DEMOINES', 'state': 'IA', 'postal_code': '50266'}",,,PRF,,,,,,https://www.americannational.com,,,ANGpD,,"American National Group Inc operates through its subsidiaries that offers a portfolio of insurance products, including individual and group life insurance, annuities, pension risk transfer, and property and casualty insurance. The company business is conducted in all 50 states, the District of Columbia and Puerto Rico. The company operates into four operating segments: Life, Annuity, Property and Casualty, and Corporate and Other.",,, ,,LIFE INSURANCE,,,,,,https://api.polygon.io/v1/reference/company-branding/YW1lcmljYW5uYXRpb25hbC5jb20/images/2025-04-04_logo.png,,,,,0001039828,,,,,,ANGpD,Normal, , ,,,,,,,,,,,,,,,,ANGpD,PRF,"American National Group Inc. Depositary Shares, each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock, Series D",us,True,USD,,,,0001039828,6311,LIFE INSURANCE,"{'address1': '6000 WESTOWN PARKWAY', 'city': 'WEST DEMOINES', 'state': 'IA', 'postal_code': '50266'}",,"American National Group Inc operates through its subsidiaries that offers a portfolio of insurance products, including individual and group life insurance, annuities, pension risk transfer, and property and casualty insurance. The company business is conducted in all 50 states, the District of Columbia and Puerto Rico. The company operates into four operating segments: Life, Annuity, Property and Casualty, and Corporate and Other.",https://www.americannational.com,https://api.polygon.io/v1/reference/company-branding/YW1lcmljYW5uYXRpb25hbC5jb20/images/2025-04-04_logo.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOPA,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,CBOpA,,,,, ,,,,,,,,,,,,,,,,,,,CBOpA,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTESTA,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,CTEST.A,,,,, ,,,,,,,,,,,,,,,,,,,CTEST.A,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELOG,XNAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,100.0,,,Normal,,,,,,,30.0,,Eastern International Ltd. - Ordinary Shares,,,,,,,,,,,30.0,,,,ELOG,,,False,True,,,,N,,False,True,30.0,,,,,,,ELOG,Eastern International Ltd. - Ordinary Shares,Normal,100.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELOG,Eastern International Ltd. Ordinary Shares,active,True,True,30.0,30.0,30.0,False,False
FOURPA,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,FOURpA,,,,, ,,,,,,,,,,,,,,,,,,,FOURpA,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKRPD,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,KKRpD,,,,, ,,,,,,,,,,,,,,,,,,,KKRpD,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULT,XNAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,100.0,,,Normal,,,,,,,30.0,,Franklin Multisector Income ETF,,,,,,,,,,,30.0,,,,MULT,,,False,True,,,,Y,,False,True,30.0,,,,,,,MULT,Franklin Multisector Income ETF,Normal,100.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULT,Franklin Templeton ETF Trust Franklin Multisector Income ETF,active,True,True,30.0,30.0,30.0,False,False
NEWTP,XNAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,100.0,,,Normal,,,,,,,30.0,,"NewtekOne, Inc. - Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.500% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B",,,,,,,,,,,30.0,,,,NEWTP,,,True,True,,,,N,,True,True,30.0,,,,,,,NEWTP,"NewtekOne, Inc. - Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.500% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B",Normal,100.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEWTP,"NewtekOne, Inc. Depositary Shares, Non-Cumulative Perpetual Preferred Stock, Series B",active,True,True,30.0,30.0,30.0,True,True
NTESTG,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,M,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.G,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.G,Normal, ,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-G,,Active,,,,,,,,,,
NTESTJ,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.J,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.J,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-J,,Active,,,,,,,,,,
