pl_symbol,exchange,pl_type,pl_name,pl_locale,pl_status,pl_currency,pl_composite_figi,pl_share_class_figi,pl_share_class_shares_outstanding,pl_cik,pl_sic_code,pl_sic_description,pl_location,pl_market_capital_2,pl_description,pl_homepage_url,pl_branding,pl_weighted_shares_outstanding,standardized_symbol
GTR,XNAS,ETF,WisdomTree Target Range Fund,us,True,USD,BBG012VD0SK7,BBG012VD0TD3,2325000.0,,,,,,,,,,GTR
QETAR,XNAS,RTS,Quetta Acquisition Corporation Right,us,True,USD,BBG01KC5F235,BBG01KC5F2Z0,,0001978528,6770,BLANK CHECKS,"{'address1': '1185 AVENUE OF THE AMERICAS', 'address2': 'FLOOR 3', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10036'}",,,,,,QETAR
BTBT,XNAS,EQS,"Bit Digital, Inc. Ordinary Shares",us,True,USD,,,321432722.0,0001710350,6199,FINANCE SERVICES,"{'address1': '31 HUDSON YARDS, FLOOR 11', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10001'}",893582967.16,"Bit Digital Inc is engaged in the Bitcoin mining business, Ethereum staking activities and specialized cloud-infrastructure services for artificial intelligence applications through its wholly owned subsidiaries. Its mining platform operates with the primary intent of accumulating bitcoin which may sell for fiat currency from time to time depending on market conditions. The Company has four reportable segments: digital asset mining, cloud services, colocation services, and ETH Staking. It generates majority of its revenue from digital asset mining.",https://www.bit-digital.com,https://api.polygon.io/v1/reference/company-branding/Yml0LWRpZ2l0YWwuY29t/images/2025-04-04_logo.svg,321432722.0,BTBT
IHG,XNYS,DR,InterContinental Hotels Group Plc,us,True,USD,BBG000DX15P2,BBG001SJPM63,153924325.0,0000858446,,,,18469009320.52,"InterContinental Hotels Group operates 987,000 rooms across 19 brands addressing the midscale through luxury segments, as of Dec. 31, 2024. Holiday Inn and Holiday Inn Express constitute the largest brand, while Hotel Indigo, Even, Hualuxe, Kimpton, and Voco are newer lifestyle brands experiencing strong demand. The company launched a midscale brand, Avid, in 2017 and closed on a 51% stake in Regent Hotels in 2018. It acquired Six Senses in 2019 and launched another midscale brand, Garner, in 2023. Managed and franchised represent 99% of total rooms. As of Dec. 31, 2024, the Americas represented 53% of total rooms, with Greater China accounting for 20% and Europe, Asia, the Middle East, and Africa making up 27%.",https://www.ihgplc.com,https://api.polygon.io/v1/reference/company-branding/aWhncGxjLmNvbQ/images/2025-04-04_logo.svg,152661674.0,IHG
TDOC,XNYS,EQS,"Teladoc Health, Inc.",us,True,USD,BBG0019T5SG0,BBG001TG5PC6,176690662.0,0001477449,8011,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,"{'address1': '155 E 44TH STREET', 'address2': 'FLOOR 17', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10017'}",1355217377.54,"Teladoc Health Inc is engaged in virtual care, forging a new healthcare experience with improved convenience, outcomes, and value. Its mission is to empower all people everywhere to live their healthiest lives by transforming the healthcare experience. It operates in Teladoc two segments Health Integrated Care and BetterHelp segments. The majority of its revenue is generated from access fees on a subscription basis (per member, per month). The balance comes from visit fees and equipment rental and sales to hospital systems.",https://www.teladochealth.com,https://api.polygon.io/v1/reference/company-branding/dGVsYWRvY2hlYWx0aC5jb20/images/2025-04-04_logo.svg,176690662.0,TDOC
BLKB,XNAS,EQS,"Blackbaud, Inc.",us,True,USD,BBG000BGGTW5,BBG001S9B5W8,48509032.0,0001280058,7372,SERVICES-PREPACKAGED SOFTWARE,"{'address1': '65 FAIRCHILD STREET', 'city': 'CHARLESTON', 'state': 'SC', 'postal_code': '29492'}",3163759067.04,"Founded in 1981, Blackbaud provides software solutions designed to serve the ""social good"" community, including nonprofits, foundations, corporations, educational institutions, healthcare institutions, and individual change agents. Through M&A and organic product development efforts, the company has also moved into related areas outside core fundraising, notably into K-12 schools. The firm enables more than $100 billion in donations annually across a customer base in excess of 40,000 customers in over 100 countries.",https://www.blackbaud.com,https://api.polygon.io/v1/reference/company-branding/YmxhY2tiYXVkLmNvbQ/images/2025-04-04_logo.png,48509032.0,BLKB
TDSpV,XNYS,PRF,"Telephone and Data Systems, Inc. Depositary Shares, Each Representing a 1/1,000th Interest in a 6.000% Series VV Cumulative Redeemable Perpetual Preferred Stock",us,True,USD,,,,0001051512,4813,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"{'address1': '30 NORTH LASALLE STREET', 'address2': 'STE 4000', 'city': 'CHICAGO', 'state': 'IL', 'postal_code': '60602'}",,"Telephone and Data Systems Inc is a diversified telecommunications operator that provides mobile, telephone, and broadband services. The company's segments include UScellular Wireless, UScellular Towers, and TDS Telecom. It generates maximum revenue from the UScellular Wireless segment.",https://www.tdsinc.com,https://api.polygon.io/v1/reference/company-branding/dGRzaW5jLmNvbQ/images/2025-04-04_logo.svg,,TDSPV
TKO,XNYS,EQS,"TKO Group Holdings, Inc.",us,True,USD,BBG01G9JKWV5,BBG01G9JKWW4,82136886.0,0001973266,7900,SERVICES-AMUSEMENT & RECREATION SERVICES,"{'address1': '200 FIFTH AVE', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10010'}",15090188695.92,"TKO Group Holdings Inc is a sports and sports entertainment company that operates combat sports and sports entertainment companies. It owns and manages valuable sports and entertainment intellectual property. The company distributes content and monetizes its intellectual property through four principal activities: Media Rights and Content, Live Events, Sponsorship, and Consumer Products Licensing. The company has two reportable segments, UFC and WWE. The company generates majority of revenue from the UFC segment. The UFC segment revenue consists of media rights fees associated with the distribution of its programming content, ticket sales, and site fees associated with the business's international live events, sponsorship, and consumer products licensing agreements of UFC-branded products.",https://www.tkogrp.com,https://api.polygon.io/v1/reference/company-branding/dGtvZ3JwLmNvbQ/images/2025-04-04_logo.svg,82136886.0,TKO
RNST,XNYS,EQS,Renasant Corporation,us,True,USD,BBG000BR40B0,BBG001S5V5B7,95019326.0,0000715072,6022,STATE COMMERCIAL BANKS,"{'address1': '209 TROY STREET', 'city': 'TUPELO', 'state': 'MS', 'postal_code': '38804-4827'}",3704803520.7400002,"Renasant Corp operates as a holding company for Renasant Bank, a Mississippi banking corporation, and its subsidiary, Renasant Insurance, Inc. It has three reportable segments: Community banks, Insurance, and Wealth management. With its Community banks segment, the company provides a range of financial services to individuals and small businesses. Its Insurance segment is an insurance agency providing commercial and personal insurance through third-party carriers. The Wealth management segment provides a range of services, including money management and retirement planning. The majority of the company's revenue is driven by lending activities in its community banks segment.",https://www.renasant.com,,95019326.0,RNST
PMCB,XNAS,EQS,"PharmaCyte Biotech, Inc. Common Stock",us,True,USD,BBG000BBVY94,BBG001S69496,6795779.0,0001157075,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","{'address1': '3960 HOWARD HUGHES PARKWAY', 'address2': 'SUITE 500', 'city': 'LAS VEGAS', 'state': 'NV', 'postal_code': '89169'}",7034605.105099999,"PharmaCyte Biotech Inc is a clinical-stage biotechnology company. The company is focused on developing and preparing to commercialize cellular therapies for cancer and diabetes based on a proprietary cellulose-based live cell encapsulation technology called Cell-in-a-Box. The Cell-in-a-Box technology is intended to be used as a platform upon which therapies for several types of cancer, including inoperable pancreatic cancer, and diabetes will be developed. The company is developing therapies for the pancreas and other solid cancerous tumors involving the encapsulation of live cells placed in the body to enable the delivery of cancer-killing drugs at the source of cancer.",https://pharmacyte.com,https://api.polygon.io/v1/reference/company-branding/cGhhcm1hY3l0ZS5jb20/images/2025-04-04_logo.png,6863699.0,PMCB
HEI,XNYS,EQS,HEICO Corporation,us,True,USD,BBG000BL16Q7,BBG001S5RVC4,55048774.0,0000046619,3724,AIRCRAFT ENGINES & ENGINE PARTS,"{'address1': '3000 TAFT ST', 'city': 'HOLLYWOOD', 'state': 'FL', 'postal_code': '33021'}",42474049558.079994,"Heico is an aerospace and defense supplier that focuses on creating replacement parts for commercial aircraft and components for defense products. In commercial aerospace, Heico is the largest independent producer of replacement aircraft parts. In the defense market, the company produces niche subcomponents used in targeting technology as well as simulation equipment, among other categories. It operates as two segments: the flight support group,or FSG, and the electronic technologies group, or ETG, both of which supply the aerospace and defense sectors to different degrees. The company is persistently acquisitive, focusing on companies in similar or adjacent markets that offer strong cash flow and profitable growth potential.",https://www.heico.com,https://api.polygon.io/v1/reference/company-branding/aGVpY28uY29t/images/2025-04-04_logo.svg,139104112.0,HEI
