sh_symbol,exchange,sh_type,sh_name,sh_currency,sh_location,sh_cusips,sh_sic_code,sh_sic_sector,sh_sic_industry,sh_fama_sector,sh_fama_industry,sh_sector,sh_industry,sh_scalemarketcap,sh_scalerevenue,sh_cik,sh_homepage_url,standardized_symbol
ATMVU,XNAS,EQS,ALPHAVEST ACQUISITION CORP,USD,New York; U.S.A,G0283A124,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,0001937891,,ATMVU
BKHAU,XNAS,EQS,BLACK HAWK ACQUISITION CORP,USD,California; U.S.A,G1148A127,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,0002000775,,BKHAU
BLSH,XNYS,DR,BULLISH,USD,Cayman Islands,,6199.0,Finance Insurance And Real Estate,Finance Services,,Banking,Financial Services,Credit Services,,6 - Mega,0001872195,,BLSH
A,XNYS,EQS,AGILENT TECHNOLOGIES INC,USD,California; U.S.A,00846U101,3826.0,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,Healthcare,Diagnostics & Research,5 - Large,5 - Large,0001090872,https://www.agilent.com,A
AA,XNYS,EQS,ALCOA CORP,USD,Pennsylvania; U.S.A,013872106,3334.0,Manufacturing,Primary Production Of Aluminum,,Steel Works Etc,Basic Materials,Aluminum,5 - Large,5 - Large,0001675149,http://www.alcoa.com,AA
AACB,XNAS,EQS,ARTIUS II ACQUISITION INC,USD,New York; U.S.A,G0509J115,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,2 - Micro,,0002034334,,AACB
AACBU,XNAS,EQS,ARTIUS II ACQUISITION INC,USD,New York; U.S.A,G0509J107,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,0002034334,,AACBU
AACG,XNAS,DR,ATA CREATIVITY GLOBAL,USD,China,00211V106,8200.0,Services,Services-Educational Services,,Personal Services,Consumer Defensive,Education & Training Services,2 - Micro,2 - Micro,0001420529,http://www.atai.net.cn,AACG
AACI,XNAS,EQS,ARMADA ACQUISITION CORP II,USD,Cayman Islands,G0R38G104,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,3 - Small,,0002044009,,AACI
AACIU,XNAS,EQS,ARMADA ACQUISITION CORP II,USD,Cayman Islands,G0R38G120,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,0002044009,,AACIU
AACIW,XNAS,WAR,ARMADA ACQUISITION CORP II,USD,Cayman Islands,G0R38G112,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,0002044009,,AACIW
AACT,XNYS,EQS,ARES ACQUISITION CORP II,USD,New York; U.S.A,G33033104,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,3 - Small,,0001853138,https://www.aresacquisitioncorporationii.com,AACT
AACT.U,XNYS,EQS,ARES ACQUISITION CORP II,USD,New York; U.S.A,G33033112,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,0001853138,,AACTU
AACT.WS,XNYS,WAR,ARES ACQUISITION CORP II,USD,New York; U.S.A,G33033120,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,0001853138,,AACTWS
AAL,XNAS,EQS,AMERICAN AIRLINES GROUP INC,USD,Texas; U.S.A,02376R102,4512.0,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,Industrials,Airlines,5 - Large,5 - Large,0000006201,http://www.aa.com,AAL
AAM,XNYS,EQS,AA MISSION ACQUISITION CORP,USD,Texas; U.S.A,G1000R101,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,3 - Small,,0002012964,,AAM
AAME,XNAS,EQS,ATLANTIC AMERICAN CORP,USD,Georgia; U.S.A,048209100,6311.0,Finance Insurance And Real Estate,Life Insurance,,Insurance,Financial Services,Insurance - Life,2 - Micro,2 - Micro,0000008177,http://www.atlam.com,AAME
AAMI,XNYS,EQS,ACADIAN ASSET MANAGEMENT INC,USD,Massachusetts; U.S.A,10948W103 G67506108 G1644T109,6282.0,Finance Insurance And Real Estate,Investment Advice,,Trading,Financial Services,Asset Management,4 - Mid,3 - Small,0001748824,http://www.bsig.com,AAMI
AAOI,XNAS,EQS,APPLIED OPTOELECTRONICS INC,USD,Texas; U.S.A,03823U102,3674.0,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,Technology,Communication Equipment,3 - Small,3 - Small,0001158114,https://www.ao-inc.com,AAOI
AAON,XNAS,EQS,AAON INC,USD,Oklahoma; U.S.A,000360206,3585.0,Manufacturing,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,,Machinery,Basic Materials,Building Products & Equipment,4 - Mid,3 - Small,0000824142,http://www.aaon.com,AAON
