exchange|confidence_score|al_symbol|sh_symbol|primary_listing|name|sic_sector|figi|scalemarketcap|tradable|sic_description|earnings_announcement|type|symbol|composite_symbol|cik|margin_requirement_long|cusips|share_class_figi|currency|weighted_shares_outstanding|scalerevenue|halt_reason|homepage_url|isin|lot|fama_sector|short_sale_restricted|margin_requirement_short|sic_code|description|industry|sic_industry|status|location|sector|shortable|easy_to_borrow|country|share_class_shares_outstanding|locale|fama_industry|maintenance_margin_requirement|branding|composite_figi|marginable|shares_outstanding|market_capital|null_count
XNYS|7.0||CHMI-PA|True|Cherry Hill Mortgage Investment Corporation|Finance Insurance And Real Estate|BBG00HFFHZX0|||REAL ESTATE INVESTMENT TRUSTS|2025-11-10T10:59:00.000+0000|PRF|CHMIpA|CHMIpA:US|0001571776||164651200||USD||||https://www.chmireit.com|US1646512004|||||6798|Cherry Hill Mortgage Investment Corp operates as a real estate investment trust in the United States. It invests in residential mortgage assets to generate current yields and risk-adjusted total returns for its stockholders over the long term, primarily through dividend distributions and secondarily through capital appreciation. The company's reportable segments include investments in Residential mortgage-backed securities (RMBS), Investments in Servicing Related Assets, and All Others. It generates maximum revenue from the RMBS segment in the form of Interest income earned for servicing mortgage loans.|REIT - Mortgage|Real Estate Investment Trusts|Normal|4000 ROUTE 66, SUITE 310, TINTON FALLS, NJ, 07753|Real Estate|||USA|2400000.0|us|Trading||/Y2htaXJlaXQuY29t/images/2025-04-04_logo.png|||5124483.0|108972131.0|17
XNYS|7.0||CHMI-PB|False|Cherry Hill Mortgage Investment Corporation|Finance Insurance And Real Estate|BBG00N8BYQS1|||REAL ESTATE INVESTMENT TRUSTS|2025-11-10T10:59:00.000+0000|PRF|CHMIpB|CHMIpB:US|0001571776||164651309||USD||||https://www.chmireit.com|US1646513093|||||6798|Cherry Hill Mortgage Investment Corp operates as a real estate investment trust in the United States. It invests in residential mortgage assets to generate current yields and risk-adjusted total returns for its stockholders over the long term, primarily through dividend distributions and secondarily through capital appreciation. The company's reportable segments include investments in Residential mortgage-backed securities (RMBS), Investments in Servicing Related Assets, and All Others. It generates maximum revenue from the RMBS segment in the form of Interest income earned for servicing mortgage loans.|REIT - Mortgage|Real Estate Investment Trusts|Normal|4000 ROUTE 66, SUITE 310, TINTON FALLS, NJ, 07753|Real Estate|||USA|1800000.0|us|Trading||/Y2htaXJlaXQuY29t/images/2025-04-04_logo.png|||4305552.0|104194358.0|17
XNYS|7.0||GS-PA|True|Goldman Sachs Group, Inc.|Finance Insurance And Real Estate|BBG000008848|||SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|2025-10-14T11:30:00.000+0000|PRF|GSpA|GSpA:US|0000886982||38143Y665||USD||||https://www.goldmansachs.com|US38143Y6656|||||6211|Goldman Sachs is a storied financial institution, founded in 1869 and best known for its role as a leading global investment bank. The firm has a sprawling reach across global financial centers and has been the leading provider of global merger and acquisition advisory services, by revenue, for the past 20 years. Since the global financial crisis, Goldman has expanded its offerings into more stable fee-based businesses like asset and wealth management, which comprised roughly 30% of post-provision revenue at the end of 2024. The bank holding company generates revenue from investment banking, global market making and trading, lending, asset management, wealth management, and a small and declining portfolio of consumer credit card loans.|Capital Markets|Security Brokers Dealers & Flotation Companies|Normal|200 WEST STREET, NEW YORK, NY, 10282|Financial Services|||USA|30000000.0|us|Trading||/Z29sZG1hbnNhY2hzLmNvbQ/images/2025-04-04_logo.svg|||10252109617.0|227826275403.0|17
XNYS|7.0||GS-PC|True|Goldman Sachs Group, Inc.|Finance Insurance And Real Estate|BBG000008HQ4|||SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|2025-10-14T11:30:00.000+0000|PRF|GSpC|GSpC:US|0000886982||38144X609||USD||||https://www.goldmansachs.com|US38144X6094|||||6211|Goldman Sachs is a storied financial institution, founded in 1869 and best known for its role as a leading global investment bank. The firm has a sprawling reach across global financial centers and has been the leading provider of global merger and acquisition advisory services, by revenue, for the past 20 years. Since the global financial crisis, Goldman has expanded its offerings into more stable fee-based businesses like asset and wealth management, which comprised roughly 30% of post-provision revenue at the end of 2024. The bank holding company generates revenue from investment banking, global market making and trading, lending, asset management, wealth management, and a small and declining portfolio of consumer credit card loans.|Capital Markets|Security Brokers Dealers & Flotation Companies|Normal|200 WEST STREET, NEW YORK, NY, 10282|Financial Services|||USA|8000000.0|us|Trading||/Z29sZG1hbnNhY2hzLmNvbQ/images/2025-04-04_logo.svg|||10398609551.0|227382368315.0|17
XNYS|7.0||RNR-PF|True|RenaissanceRe Holdings Ltd|Finance Insurance And Real Estate|BBG00L4J1XW8|||FIRE, MARINE & CASUALTY INSURANCE|2025-11-04T12:00:00.000+0000|PRF|RNRpF|RNRpF:US|0000913144||75968N309||USD||||https://www.renre.com|US75968N3098|||||6331|RenaissanceRe Holdings Ltd provides reinsurance and insurance solutions and related services. The company's core products include property, casualty and specialty reinsurance. Revenue is derived from three sources: net premiums earned from the insurance and insurance products sold; net investment income from the investment of capital funds and cash; and other income from the company's joint ventures, advisory services, and other items. The reportable segments of the company are the Property segment which includes catastrophe and other property reinsurance, and the Casualty and Specialty segment which is comprised of casualty and specialty reinsurance. It derives a majority of its revenue from the Casualty and specialty segment.|Insurance - Reinsurance|Fire Marine & Casualty Insurance|Normal|RENAISSANCE HOUSE, 12 CROW LANE, PEMBROKE, D0, HM19|Financial Services|||USA|10000000.0|us|Insurance||/cmVucmUuY29t/images/2025-04-04_logo.svg|||312859997.0|7226346353.0|17
XNYS|7.0||STT-PG|True|State Street Corp.|Finance Insurance And Real Estate|BBG00CMN2JX8|||STATE COMMERCIAL BANKS|2025-10-21T12:00:00.000+0000|PRF|STTpG|STTpG:US|0000093751||857477855||USD||||https://www.statestreet.com|US8574778556|||||6022|State Street is a leading provider of financial services, including investment servicing, investment management, and investment research and trading. With approximately $49 trillion in assets under custody and administration, and $5.1 trillion in assets under management, as of June 30, 2025, State Street operates globally in more than 100 geographic markets and employs about 53,000 worldwide.|Asset Management|State Commercial Banks|Normal|1 CONGRESS STREET, SUITE 1, BOSTON, MA, 02114|Financial Services|||USA|20000000.0|us|Banking||/c3RhdGVzdHJlZXQuY29t/images/2025-04-04_logo.svg|||1411514089.0|32484302941.0|17
XNYS|7.0||AHL-PE|False|Aspen Insurance Hldgs|Finance Insurance And Real Estate|BBG00PXGMSB4|||FIRE, MARINE & CASUALTY INSURANCE|2025-12-03T12:00:00.000+0000|PRF|AHLpE|AHLpE:US|0001267395||G05384204||USD||||https://www.aspen.co|BMG053842040|||||6331|Aspen Insurance Holdings Ltd is a Bermudian insurance and reinsurance company. Its principal business is marketing and underwriting specialty insurance and reinsurance regularly. It comprises underwriting operations, which include risk-bearing insurance and reinsurance operations; Investing activities, which support underwriting operations; and ACM operations, which earn underwriting, management, and performance fees. It has two segments: Aspen Insurance and Aspen Reinsurance. Aspen Insurance consists of property and casualty insurance, marine, aviation, and energy insurance, and financial and professional lines insurance. Aspen Reinsurance comprises property catastrophe reinsurance, other property reinsurance, casualty reinsurance, and specialty reinsurance.|Insurance - Reinsurance|Fire Marine & Casualty Insurance|Normal|141 FRONT STREET, HAMILTON, D0, HM 19|Financial Services|||USA|10000000.0|us|Insurance||/YXNwZW4uY28/images/2025-04-04_logo.png|||91838360.0|1904727586.0|17
XNYS|7.0||CDR-PC|True|Cedar Realty Trust Inc|Finance Insurance And Real Estate|BBG00HFZS686|||REAL ESTATE INVESTMENT TRUSTS|2025-11-07T12:00:00.000+0000|PRF|CDRpC|CDRpC:US|0000761648||150602506||USD||||https://ir.cedarrealtytrust.com/company-informatio|US1506025063|||||6798|Cedar Realty Trust Inc is a real estate investment trust that focuses on the ownership, operation, and redevelopment of grocery-anchored shopping centers in high-density urban markets from Washington, D.C. to Boston. The company derives all of its revenues from rents and operating expense reimbursements received under long-term leases.|REIT - Retail|Real Estate Investment Trusts|Normal|2529 VIRGINIA BEACH BLVD., VIRGINIA BEACH, VA, 23452|Real Estate|||USA|5000000.0|us|Trading||/aXIuY2VkYXJyZWFsdHl0cnVzdC5jb20/images/2025-04-04_logo.svg|||181692.0|219079159.0|17
XNYS|7.0||MET-PF|False|Metlife Inc|Finance Insurance And Real Estate|BBG00RB2FDK6|||LIFE INSURANCE|2025-10-28T10:59:00.000+0000|PRF|METpF|METpF:US|0001099219||59156R850||USD||||https://www.metlife.com|US59156R8503|||||6311|MetLife is one of the largest life insurers in the US by assets and provides a variety of life insurance and annuity products. It is organized into six segments: Group Benefits, Retirement and Income Solutions, Asia, Latin America, Europe/Middle East/Africa (EMEA), and MetLife Holdings (products in run-off). Group Benefits and RIS are US-based, contributing to around 48% of the firm's 2024 adjusted earnings. The Asia segment contributes around 25% of earnings, mainly tied to Japan. The company also holds leading market positions in Mexico and Chile, with the Latin America segment contributing around 13% of 2024 earnings. The EMEA and MetLife Holdings segments contributed around 4% and 10% of 2024 earnings, respectively.|Insurance - Life|Life Insurance|Normal|200 PARK AVENUE, NEW YORK, NY, 10166|Financial Services|||USA|40000000.0|us|Insurance||/bWV0bGlmZS5jb20/images/2025-04-04_logo.svg|||665026000.0|13706185860.0|17
XNYS|7.0||MFA-PB|True|MFA Financial Inc|Finance Insurance And Real Estate|BBG004F03475|||REAL ESTATE INVESTMENT TRUSTS|2025-11-04T13:30:00.000+0000|PRF|MFApB|MFApB:US|0001055160||55272X409||USD||||https://www.mfafinancial.com|US55272X4097|||||6798|MFA Financial Inc is a specialty finance company that invests in and finances residential mortgage assets. Its principal business objective is to deliver shareholder value through the generation of distributable income and through asset performance linked to residential mortgage credit fundamentals. The company selectively invests in residential mortgage assets with a focus on credit analysis, projected prepayment rates, interest rate sensitivity and expected return. The company's reportable segments include mortgage-related assets and Lima One.|REIT - Mortgage|Real Estate Investment Trusts|Normal|350 PARK AVENUE, 20TH FL, NEW YORK, NY, 10022|Real Estate|||USA|8000000.0|us|Trading||/bWZhZmluYW5jaWFsLmNvbQ/images/2025-04-04_logo.svg|||46503164.0|1011443817.0|17
