exchange|confidence_score|al_symbol|sh_symbol|primary_listing|name|sic_sector|figi|scalemarketcap|tradable|sic_description|earnings_announcement|type|symbol|composite_symbol|cik|margin_requirement_long|cusips|share_class_figi|currency|weighted_shares_outstanding|scalerevenue|halt_reason|homepage_url|isin|lot|fama_sector|short_sale_restricted|margin_requirement_short|sic_code|description|industry|sic_industry|status|location|sector|shortable|easy_to_borrow|country|share_class_shares_outstanding|locale|fama_industry|maintenance_margin_requirement|branding|composite_figi|marginable|shares_outstanding|market_capital|null_count
XNAS|2.0|MULT|||Franklin Multisector Income ETF||||True||||MULT|||30.0|||||||||100.0|||30.0|||||Normal|||False|False|||||30.0|||True|||34
XNAS|2.0|NEWTP|||NewtekOne, Inc. - Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.500% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B||||True||||NEWTP|||30.0|||||||||100.0|||30.0|||||Normal|||True|True|||||30.0|||True|||34
XNAS|2.0|ELOG|||Eastern International Ltd. - Ordinary Shares||||True||||ELOG|||30.0|||||||||100.0|||30.0|||||Normal|||False|False|||||30.0|||True|||34
XNAS|3.0|ETHMU|||Dynamix Corporation - Unit||||True||||ETHMU|||30.0|||||||||100.0|||30.0|||||Normal|||False|False|||||30.0|||True|||34
XNAS|3.0|KOYNU|||CSLM Digital Asset Acquisition Corp III - Units||||True||||KOYNU|||30.0|||||||||100.0|||30.0|||||Normal|||False|False|||||30.0|||True|||34
XNAS|2.0|THH|||TryHard Holdings Limited - Ordinary Shares||||True||||THH|||30.0|||||||||100.0|||30.0|||||Normal|||False|False|||||30.0|||True|||34
XNYS|3.0|RAC.U|||Rithm Acquisition Corp Units each consists of one Class A Ordinary Share and onethird of one redeemable Warrant||||True||||RAC.U|||30.0||||||||||||30.0|||||Normal|||False|False|||||30.0|||True|||35
XNYS|3.0|SBXD.U|||SilverBox Corp IV Units each consisting of one Class A ordinary share and onethird of one redeemable warrant||||True||||SBXD.U|||30.0||||||||||||30.0|||||Normal|||False|False|||||30.0|||True|||35
XNYS|3.0|SOUL.U|||Soulpower Acquisition Corp - Units (1 Ord Cls A & 1/2 War)||||True||||SOUL.U|||30.0||||||||||||30.0|||||Normal|||False|False|||||30.0|||True|||35
XNYS|3.0|PAII.U|||Pyrophyte Acquisition Corp II Units each consisting of one Class A ordinary share and onehalf of one redeemable warrant||||True||||PAII.U|||30.0||||||||||||30.0|||||Normal|||False|False|||||30.0|||True|||35
XNYS|3.0|AAM.U|||AA Mission Acquisition Corp - Units (1 Ord Share Class A & 1/2 War)||||True||||AAM.U|||30.0||||||||||||30.0|||||Normal|||False|False|||||30.0|||True|||35
XNYS|3.0|EQV.U|||EQV Ventures Acquisition Corp - Units (1 Ord Cls A & 1/3Warr)||||True||||EQV.U|||30.0||||||||||||30.0|||||Normal|||False|False|||||30.0|||True|||35
XNYS|3.0|HYAC.U|||Haymaker Acquisition Corp 4 - Units (1 Ord Class A & 1/2 War)||||True||||HYAC.U|||30.0||||||||||||30.0|||||Normal|||False|False|||||30.0|||True|||35
XNYS|3.0|COPL.U|||Copley Acquisition Corp - Units (1 Ord Cls A & 1/2 War)||||True||||COPL.U|||30.0||||||||||||30.0|||||Normal|||False|False|||||30.0|||True|||35
XNYS|3.0|JENA.U|||Jena Acquisition Corporation II Units each consisting of one Class A ordinary share and one right||||True||||JENA.U|||30.0||||||||||||30.0|||||Normal|||False|False|||||30.0|||True|||35
XNYS|2.0||||||||||||NTEST.G|||||||||M|||||||||||Normal|||||||||||||||43
XNYS|2.0||||||||||||NTEST.J||||||||||||||||||||Normal|||||||||||||||44
XNYS|2.0||||||||||||NTEST.K||||||||||||||||||||Normal|||||||||||||||44
XNYS|1.0||||||||||||CTEST.A||||||||||||||||||||Normal|||||||||||||||44
XNYS|1.0||||||||||||CBOpA||||||||||||||||||||Normal|||||||||||||||44
XNYS|1.0||||||||||||KKRpD||||||||||||||||||||Normal|||||||||||||||44
XNYS|1.0||||||||||||FOURpA||||||||||||||||||||Normal|||||||||||||||44
XNYS|2.0||||||||||||NTEST.Z||||||||||||||||||||Normal|||||||||||||||44
XNYS|2.0||||||||||||NTEST.Y||||||||||||||||||||Normal|||||||||||||||44
XNYS|2.0||||||||||||NTEST.M||||||||||||||||||||Normal|||||||||||||||44
XNYS|2.0||||||||||||NTEST.L||||||||||||||||||||Normal|||||||||||||||44
XNYS|2.0||||||||||||NTEST.N||||||||||||||||||||Normal|||||||||||||||44
XNYS|2.0||||||||||||NTEST.O||||||||||||||||||||Normal|||||||||||||||44
XNYS|2.0||||||||||||NTEST.P||||||||||||||||||||Normal|||||||||||||||44
XNYS|2.0||||||||||||NTEST.Q||||||||||||||||||||Normal|||||||||||||||44
XNYS|1.0||||||||||||PCGpX||||||||||||||||||||Normal|||||||||||||||44
