it_symbol,exchange,it_type,it_name,it_currency,it_composite_symbol,it_figi,it_composite_figi,it_share_class_figi,it_primary_listing,standardized_symbol
A,XNYS,EQS,Agilent Technologies Inc.,USD,A:US,BBG000C2V541,BBG000C2V3D6,BBG001SCTQY4,True,A
AA,XNYS,EQS,Alcoa Corp,USD,AA:US,BBG00B3T3HK5,BBG00B3T3HD3,BBG00B3T3HF1,True,AA
AADR,XNAS,ETF,AdvisorShares Dorsey Wright ADR ETF,USD,AADR:US,BBG000BDYVZ4,BBG000BDYRW6,BBG001T9B1Y4,True,AADR
AAL,XNAS,EQS,American Airlines Group Inc,USD,AAL:US,BBG005P7Q8V5,BBG005P7Q881,BBG005P7Q907,True,AAL
AAME,XNAS,EQS,Atlantic American Corp.,USD,AAME:US,BBG000B9XDQ4,BBG000B9XB24,BBG001S5N8T1,True,AAME
AAOI,XNAS,EQS,Applied Optoelectronics Inc,USD,AAOI:US,BBG00564XQN4,BBG000D6VW15,BBG001SG47G4,True,AAOI
AAON,XNAS,EQS,AAON Inc.,USD,AAON:US,BBG000C2M952,BBG000C2LZP3,BBG001S6CZK0,True,AAON
AAP,XNYS,EQS,Advance Auto Parts Inc,USD,AAP:US,BBG000F7RFH6,BBG000F7RCJ1,BBG001SD2SB2,True,AAP
AAPL,XNAS,EQS,Apple Inc,USD,AAPL:US,BBG000B9Y5X2,BBG000B9XRY4,BBG001S5N8V8,True,AAPL
AAT,XNYS,EQS,American Assets Trust Inc,USD,AAT:US,BBG00161BCW4,BBG00161BCR0,BBG001TCBJS5,True,AAT
AAXJ,XNAS,ETF,iShares MSCI All Country Asia ex Japan ETF,USD,AAXJ:US,BBG000G6J356,BBG000G6GXC5,BBG001T2V2D8,True,AAXJ
AB,XNYS,UNT,AllianceBernstein Holding Lp,USD,AB:US,BBG000B9WPQ8,BBG000B9WM03,BBG001S5N9S0,True,AB
ABBV,XNYS,EQS,Abbvie Inc,USD,ABBV:US,BBG003P7K0B5,BBG0025Y4RY4,BBG0025Y4RZ3,True,ABBV
ABCB,XNYS,EQS,Ameris Bancorp,USD,ABCB:US,BBG000CDY5M4,BBG000CDY3H5,BBG001S80PX7,True,ABCB
ABEO,XNAS,EQS,Abeona Therapeutics Inc,USD,ABEO:US,BBG000DT5MQ9,BBG000DT5D52,BBG001S8T7K0,True,ABEO
ABEV,XNYS,DR,Ambev S.A.,USD,ABEV:US,BBG000BN5XM4,BBG000BN5VZ4,BBG005KLVT74,True,ABEV
ABG,XNYS,EQS,Asbury Automotive Group Inc,USD,ABG:US,BBG000BKDXS5,BBG000BKDWB5,BBG001S9B5H5,True,ABG
ABM,XNYS,EQS,ABM Industries Inc.,USD,ABM:US,BBG000B9Z0B6,BBG000B9YYH7,BBG001S5N9B8,True,ABM
ABR,XNYS,EQS,Arbor Realty Trust Inc.,USD,ABR:US,BBG000KMVGS8,BBG000KMVDV1,BBG001SJP3G4,True,ABR
ABT,XNYS,EQS,Abbott Laboratories,USD,ABT:US,BBG000B9ZZG4,BBG000B9ZXB4,BBG001S5N9M6,True,ABT
