standardized_symbol,exchange,_in_t1,_in_t2,_in_t3,_in_t4,_in_t5,_in_t6,_in_t7,_in_t8,_in_t9,confidence_score,primary_listing,name,sic_sector,figi,scalemarketcap,tradable,sic_description,market_capital_2,earnings_announcement,type,symbol,composite_symbol,cik,margin_requirement_long,cusips,share_class_figi,currency,weighted_shares_outstanding,scalerevenue,halt_reason,homepage_url,isin,lot,fama_sector,short_sale_restricted,margin_requirement_short,sic_code,description,industry,sic_industry,status,location,sector,market_capital_1,shortable,easy_to_borrow,etf,country,share_class_shares_outstanding,locale,fama_industry,maintenance_margin_requirement,branding,composite_figi,marginable,shares_outstanding,na_symbol,na_name,na_status,na_lot,na_etf,ny_symbol,ny_status,ny_short_sale_restricted,ny_halt_reason,it_symbol,it_type,it_name,it_currency,it_composite_symbol,it_figi,it_composite_figi,it_share_class_figi,it_primary_listing,ed_symbol,ed_type,ed_name,ed_country,ed_currency,ed_isin,pl_symbol,pl_type,pl_name,pl_locale,pl_status,pl_currency,pl_composite_figi,pl_share_class_figi,pl_share_class_shares_outstanding,pl_cik,pl_sic_code,pl_sic_description,pl_location,pl_market_capital_2,pl_description,pl_homepage_url,pl_branding,pl_weighted_shares_outstanding,sh_symbol,sh_type,sh_name,sh_currency,sh_location,sh_cusips,sh_sic_code,sh_sic_sector,sh_sic_industry,sh_fama_sector,sh_fama_industry,sh_sector,sh_industry,sh_scalemarketcap,sh_scalerevenue,sh_cik,sh_homepage_url,fp_symbol,fp_type,fp_name,fp_market_capital_1,fp_earnings_announcement,fp_shares_outstanding,av_symbol,av_name,av_status,al_symbol,al_name,al_status,al_tradable,al_marginable,al_maintenance_margin_requirement,al_margin_requirement_long,al_margin_requirement_short,al_shortable,al_easy_to_borrow
ANGPD,XNYS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,"American National Group Inc. Depositary Shares, each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock, Series D",,,,,LIFE INSURANCE,,,PRF,ANGpD,,0001039828,,,,USD,,, ,https://www.americannational.com,,,, ,,6311,"American National Group Inc operates through its subsidiaries that offers a portfolio of insurance products, including individual and group life insurance, annuities, pension risk transfer, and property and casualty insurance. The company business is conducted in all 50 states, the District of Columbia and Puerto Rico. The company operates into four operating segments: Life, Annuity, Property and Casualty, and Corporate and Other.",,,Normal,"{'address1': '6000 WESTOWN PARKWAY', 'city': 'WEST DEMOINES', 'state': 'IA', 'postal_code': '50266'}",,,,,,,,us,,,https://api.polygon.io/v1/reference/company-branding/YW1lcmljYW5uYXRpb25hbC5jb20/images/2025-04-04_logo.png,,,,,,,,,ANGpD,Normal, , ,,,,,,,,,,,,,,,,ANGpD,PRF,"American National Group Inc. Depositary Shares, each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock, Series D",us,True,USD,,,,0001039828,6311,LIFE INSURANCE,"{'address1': '6000 WESTOWN PARKWAY', 'city': 'WEST DEMOINES', 'state': 'IA', 'postal_code': '50266'}",,"American National Group Inc operates through its subsidiaries that offers a portfolio of insurance products, including individual and group life insurance, annuities, pension risk transfer, and property and casualty insurance. The company business is conducted in all 50 states, the District of Columbia and Puerto Rico. The company operates into four operating segments: Life, Annuity, Property and Casualty, and Corporate and Other.",https://www.americannational.com,https://api.polygon.io/v1/reference/company-branding/YW1lcmljYW5uYXRpb25hbC5jb20/images/2025-04-04_logo.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOPA,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,CBOpA,,,,,,,,, ,,,,, ,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,CBOpA,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTESTA,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,CTEST.A,,,,,,,,, ,,,,, ,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,CTEST.A,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELOG,XNAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,Eastern International Ltd. - Ordinary Shares,,,,True,,,,,ELOG,,,30.0,,,,,,,,,100.0,,,30.0,,,,,Normal,,,,False,False,N,,,,,30.0,,,True,,ELOG,Eastern International Ltd. - Ordinary Shares,Normal,100.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELOG,Eastern International Ltd. Ordinary Shares,active,True,True,30.0,30.0,30.0,False,False
FOURPA,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,FOURpA,,,,,,,,, ,,,,, ,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,FOURpA,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKRPD,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,KKRpD,,,,,,,,, ,,,,, ,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,KKRpD,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULT,XNAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,Franklin Multisector Income ETF,,,,True,,,,,MULT,,,30.0,,,,,,,,,100.0,,,30.0,,,,,Normal,,,,False,False,Y,,,,,30.0,,,True,,MULT,Franklin Multisector Income ETF,Normal,100.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULT,Franklin Templeton ETF Trust Franklin Multisector Income ETF,active,True,True,30.0,30.0,30.0,False,False
NEWTP,XNAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,"NewtekOne, Inc. - Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.500% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B",,,,True,,,,,NEWTP,,,30.0,,,,,,,,,100.0,,,30.0,,,,,Normal,,,,True,True,N,,,,,30.0,,,True,,NEWTP,"NewtekOne, Inc. - Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.500% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B",Normal,100.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEWTP,"NewtekOne, Inc. Depositary Shares, Non-Cumulative Perpetual Preferred Stock, Series B",active,True,True,30.0,30.0,30.0,True,True
NTESTG,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,NTEST.G,,,,,,,,,M,,,,, ,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,NTEST.G,Normal, ,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-G,,Active,,,,,,,,,,
NTESTJ,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,NTEST.J,,,,,,,,, ,,,,, ,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,NTEST.J,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-J,,Active,,,,,,,,,,
