exchange|confidence_score|al_symbol|av_symbol|ed_symbol|fd_symbol|fp_symbol|it_symbol|pl_symbol|sh_symbol|shares_outstanding|margin_requirement_short|status|cusip|sic_description|fama_industry|sector|earnings_announcement|fama_sector|industry|share_class_figi|sic_industry|symbol|figi|sic_code|composite_figi|composite_symbol|maintenance_margin_requirement|homepage_url|halt_reason|marginable|city|lot|branding|margin_requirement_long|scalemarketcap|sic_sector|cik|share_class_shares_outstanding|state|isin|locale|shortable|country|zipcode|weighted_shares_outstanding|cusips|location|industry_group|primary_listing|scalerevenue|tradable|short_sale_restricted|currency|easy_to_borrow|description|type|name|market_capital|null_count
XNYS|8.0||CIM-P-C|CIM-PC|CIM-PC|CIM-PC|CIMpC|CIMpC|CIM-PC|48650780.0||Normal||REAL ESTATE INVESTMENT TRUSTS|Trading|Real Estate|2025-10-30T12:00:00.000+0000||Equity Real Estate Investment Trusts (REITs)||Real Estate Investment Trusts|CIMpC|BBG00LZCHCL0|6798||CIMpC:US||http://www.chimerareit.com|||New York||/Y2hpbWVyYXJlaXQuY29t/images/2025-04-04_logo.svg||Mid Cap|Finance Insurance And Real Estate|0001409493|10400000.0|NY|US16934Q3074|us||United States|10022||16934Q505|630 FIFTH AVENUE, SUITE 2044, NEW YORK, NY, 10111|Real Estate|False||||USD||Chimera Investment Corporation operates as a real estate investment trust (REIT) in the United States. The company, through its subsidiaries, invests in a portfolio of mortgage assets, including residential mortgage loans, agency and non-agency residential mortgage-backed securities, agency mortgage-backed securities secured by pools of commercial mortgage loans, and other real estate related securities. It has elected to be taxed as a REIT and would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. The company was incorporated in 2007 and is headquartered in New York, New York.|PRF|Chimera Investment Corporation|1131131240.0|17
XNYS|8.0||CTA-P-B|CTA-PB|CTA-PB|CTA-PB|CTApB|CTApB|CTA-PB|867806016.0||Normal||PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)|Chemicals|Materials|2025-07-30T20:00:00.000+0000||Construction Materials||Plastic Material Synth Resin/Rubber Cellulos (No Glass)|CTApB|BBG0000027B8|2820||CTApB:US||http://www.corteva.com|||Wilmington||/Y29ydGV2YS5jb20/images/2025-04-04_logo.svg||Large Cap|Manufacturing|0000030554|1672594.0|DE|US2635343070|us||United States|19805||263534307|9330 ZIONSVILLE ROAD, INDIANAPOLIS, IN, 46268|Materials|False||||USD||E. I. du Pont de Nemours and Company provides seeds and crop protection products for the agriculture industry in the United States, Canada, Europe, the Middle East, Africa, Latin America, and the Asia Pacific. It operates in two segments, Seed and Crop Protection. The Seed segment develops and supplies advanced germplasm and traits that produce yield for farms; offers corn, soybean, and sunflower seeds; trait technologies that enhance resistance to weather, disease, insects, and herbicides, which is used to control weeds, as well as enhances food and nutritional characteristics; and digital solutions that assist farmer decision-making with a view to optimizing product selection and yield. The Crop Protection segment serves the agricultural input industry with products that protect against weeds, insects and other pests, and diseases, as well as enhance overall crop health above and below ground via nitrogen management and seed-applied technologies. This segment provides herbicides, insecticides, nitrogen stabilizers and pasture, and range management herbicides. It offers its products under the Pioneer, Brevant, Dairyland Seed, Hoegemeyer, Nutech, Seed Consultants, AgVenture, Alforex, PhytoGen, Pannar, VP Maxx, HPT, G2, Supreme EX, XL, Power Plus, ENLIST E3, ENLIST, EXZACT, HERCULEX, Leptra, POWERCORE, Optimum, AcreMax, REFUGE ADVANCED, SMARTSTAX, NEXERA, Omega-9 Oils, AQUAmax, Plenish, ExpressSun, Protector, Pioneer MAXIMUS, Qrome, Clearfield, PROPOUND, Conkesta, Conkesta E3, WideStrike, LumiGEN, LUMIDERM, LUMIVIA, LUMIALZA, GRANULAR, ACREVALUE, Granular, and Insights brand names. The company was founded in 1802 and is headquartered in Wilmington, Delaware. E. I. du Pont de Nemours and Company is a subsidiary of Corteva, Inc.|PRF|E. I. du Pont de Nemours and Company|62482033152.0|17
XNYS|8.0||CIM-P-D|CIM-PD|CIM-PD|CIM-PD|CIMpD|CIMpD|CIM-PD|45435015.0||Normal||REAL ESTATE INVESTMENT TRUSTS|Trading|Real Estate|2025-10-30T12:00:00.000+0000||Equity Real Estate Investment Trusts (REITs)||Real Estate Investment Trusts|CIMpD|BBG00N2PPZ15|6798||CIMpD:US||http://www.chimerareit.com|||New York||/Y2hpbWVyYXJlaXQuY29t/images/2025-04-04_logo.svg||Mid Cap|Finance Insurance And Real Estate|0001409493|8000000.0|NY|US16934Q6044|us||United States|10022||16934Q604|630 FIFTH AVENUE, SUITE 2044, NEW YORK, NY, 10111|Real Estate|False||||USD||Chimera Investment Corporation operates as a real estate investment trust (REIT) in the United States. The company, through its subsidiaries, invests in a portfolio of mortgage assets, including residential mortgage loans, agency and non-agency residential mortgage-backed securities, agency mortgage-backed securities secured by pools of commercial mortgage loans, and other real estate related securities. It has elected to be taxed as a REIT and would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. The company was incorporated in 2007 and is headquartered in New York, New York.|PRF|Chimera Investment Corporation|1120428062.0|17
XNYS|8.0||REXR-P-C|REXR-PC|REXR-PC|REXR-PC|REXRpC|REXRpC|REXR-PC|236672000.0||Normal||REAL ESTATE INVESTMENT TRUSTS|Trading|Real Estate|2025-10-15T12:00:00.000+0000||Equity Real Estate Investment Trusts (REITs)||Real Estate Investment Trusts|REXRpC|BBG00Q8J3Y59|6798||REXRpC:US||http://www.rexfordindustrial.com|||Los Angeles||/cmV4Zm9yZGluZHVzdHJpYWwuY29t/images/2025-04-04_logo.svg||Mid Cap|Finance Insurance And Real Estate|0001571283|3000000.0|CA|US76169C4078|us||United States|90025||76169C407|11620 WILSHIRE BOULEVARD, SUITE 1000, LOS ANGELES, CA, 90025|Real Estate|False||||USD||Rexford Industrial, a real estate investment trust focused on owning and operating industrial properties throughout Southern California infill markets, owns 232 properties with approximately 27.9 million rentable square feet and manages an additional 20 properties with approximately 1.0 million rentable square feet.|PRF|Rexford Industrial Realty, Inc.|5235184640.0|17
XNYS|8.0||CTA-P-A|CTA-PA|CTA-PA|CTA-PA|CTApA|CTApA|CTA-PA|200.0||Normal||PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)|Chemicals|Materials|2025-07-30T20:00:00.000+0000||Construction Materials||Plastic Material Synth Resin/Rubber Cellulos (No Glass)|CTApA|BBG000002791|2820||CTApA:US||http://www.corteva.com|||Wilmington||/Y29ydGV2YS5jb20/images/2025-04-04_logo.svg||Large Cap|Manufacturing|0000030554|700000.0|DE|US2635342080|us||United States|19805||263534208|9330 ZIONSVILLE ROAD, INDIANAPOLIS, IN, 46268|Materials|False||||USD||E. I. du Pont de Nemours and Company provides seeds and crop protection products for the agriculture industry in the United States, Canada, Europe, the Middle East, Africa, Latin America, and the Asia Pacific. It operates in two segments, Seed and Crop Protection. The Seed segment develops and supplies advanced germplasm and traits that produce yield for farms; offers corn, soybean, and sunflower seeds; trait technologies that enhance resistance to weather, disease, insects, and herbicides, which is used to control weeds, as well as enhances food and nutritional characteristics; and digital solutions that assist farmer decision-making with a view to optimizing product selection and yield. The Crop Protection segment serves the agricultural input industry with products that protect against weeds, insects and other pests, and diseases, as well as enhance overall crop health above and below ground via nitrogen management and seed-applied technologies. This segment provides herbicides, insecticides, nitrogen stabilizers and pasture, and range management herbicides. It offers its products under the Pioneer, Brevant, Dairyland Seed, Hoegemeyer, Nutech, Seed Consultants, AgVenture, Alforex, PhytoGen, Pannar, VP Maxx, HPT, G2, Supreme EX, XL, Power Plus, ENLIST E3, ENLIST, EXZACT, HERCULEX, Leptra, POWERCORE, Optimum, AcreMax, REFUGE ADVANCED, SMARTSTAX, NEXERA, Omega-9 Oils, AQUAmax, Plenish, ExpressSun, Protector, Pioneer MAXIMUS, Qrome, Clearfield, PROPOUND, Conkesta, Conkesta E3, WideStrike, LumiGEN, LUMIDERM, LUMIVIA, LUMIALZA, GRANULAR, ACREVALUE, Granular, and Insights brand names. The company was founded in 1802 and is headquartered in Wilmington, Delaware. E. I. du Pont de Nemours and Company is a subsidiary of Corteva, Inc.|PRF|E. I. du Pont de Nemours and Company|11044.0|17
XNYS|8.0||BAC-P-E|BAC-P-E|BAC-PE|BAC-PE|BACpE|BACpE|BAC-PE|16559514685.0||Normal||NATIONAL COMMERCIAL BANKS|Banking|Financials|2025-10-15T10:45:00.000+0000||Banks||National Commercial Banks|BACpE|BBG000001WW1|6021||BACpE:US||http://www.bankofamerica.com|||Charlotte||/YmFua29mYW1lcmljYS5jb20/images/2025-04-04_logo.svg||Mega Cap|Finance Insurance And Real Estate|0000070858|81000000.0|NC|US0605058157|us||United States|28255||060505815|BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, 28255|Banks|True||||USD||Bank of America Corporation, through its subsidiaries, provides banking and financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. Its Consumer Banking segment offers traditional and money market savings accounts, certificates of deposit and IRAs, noninterest-and interest-bearing checking accounts, and investment accounts and products; and credit and debit cards, residential mortgages, and home equity loans, as well as direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. The company's Global Wealth & Investment Management segment offers investment management, brokerage, banking, and trust and retirement products and services; and wealth management solutions, as well as customized solutions, including specialty asset management services. Its Global Banking segment provides lending products and services, including commercial loans, leases, commitment facilities, trade finance, and commercial real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, and short-term investing options and merchant services; working capital management solutions; and debt and equity underwriting and distribution, and merger-related and other advisory services. The company's Global Markets segment offers market-making, financing, securities clearing, settlement, and custody services, as well as risk management products using interest rate, equity, credit, currency and commodity derivatives, foreign exchange, fixed-income, and mortgage-related products. As of April 15, 2021, it served approximately 66 million consumer and small business clients with approximately 4,300 retail financial centers; approximately 17,000 ATMs; and digital banking platforms with approximately 40 million active users. The company was founded in 1784 and is headquartered in Charlotte, North Carolina.|PRF|Bank of America Corporation|356195160874.0|17
XNYS|8.0||BAC-P-K|BAC-P-K|BAC-PK|BAC-PK|BACpK|BACpK|BAC-PK|14154700698.0||Normal||NATIONAL COMMERCIAL BANKS|Banking|Financials|2025-10-15T10:45:00.000+0000||Banks||National Commercial Banks|BACpK|BBG00LG6JBB5|6021||BACpK:US||http://www.bankofamerica.com|||Charlotte||/YmFua29mYW1lcmljYS5jb20/images/2025-04-04_logo.svg||Mega Cap|Finance Insurance And Real Estate|0000070858|34160000.0|NC|US06055H6080|us||United States|28255||060505195|BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, 28255|Banks|False||||USD||Bank of America Corporation, through its subsidiaries, provides banking and financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. Its Consumer Banking segment offers traditional and money market savings accounts, certificates of deposit and IRAs, noninterest-and interest-bearing checking accounts, and investment accounts and products; and credit and debit cards, residential mortgages, and home equity loans, as well as direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. The company's Global Wealth & Investment Management segment offers investment management, brokerage, banking, and trust and retirement products and services; and wealth management solutions, as well as customized solutions, including specialty asset management services. Its Global Banking segment provides lending products and services, including commercial loans, leases, commitment facilities, trade finance, and commercial real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, and short-term investing options and merchant services; working capital management solutions; and debt and equity underwriting and distribution, and merger-related and other advisory services. The company's Global Markets segment offers market-making, financing, securities clearing, settlement, and custody services, as well as risk management products using interest rate, equity, credit, currency and commodity derivatives, foreign exchange, fixed-income, and mortgage-related products. As of April 15, 2021, it served approximately 66 million consumer and small business clients with approximately 4,300 retail financial centers; approximately 17,000 ATMs; and digital banking platforms with approximately 40 million active users. The company was founded in 1784 and is headquartered in Charlotte, North Carolina.|PRF|Bank of America Corporation|353584423436.0|17
XNYS|8.0||KEY-P-J|KEY-PJ|KEY-PJ|KEY-PJ|KEYpJ|KEYpJ|KEY-PJ|891102514.0||Normal||NATIONAL COMMERCIAL BANKS|Banking|Financials|2025-10-16T10:30:00.000+0000||Banks||National Commercial Banks|KEYpJ|BBG00LJS16V2|6021||KEYpJ:US||http://www.key.com|||Cleveland||/a2V5LmNvbQ/images/2025-04-04_logo.svg||Large Cap|Finance Insurance And Real Estate|0000091576|17000000.0|OH|US4932678760|us||United States|44114-1306||493267876|127 PUBLIC SQ, CLEVELAND, OH, 44114-1306|Banks|False||||USD||KeyCorp operates as the holding company for KeyBank National Association that provides various retail and commercial banking products and services in the United States. It operates in two segments, Consumer Bank and Commercial Bank. The company offers various deposits, investment products and services; and personal finance and financial wellness, student loan refinancing, mortgage and home equity, lending, credit card, treasury, business advisory, wealth management, asset management, cash management, portfolio management, and trust and related services to individuals and small and medium-sized businesses. It also provides a suite of banking and capital market products, such as syndicated finance, debt and equity capital market products, commercial payments, equipment finance, commercial mortgage banking, derivatives, foreign exchange, financial advisory, and public finance, as well as commercial mortgage loans comprising consumer, energy, healthcare, industrial, public sector, real estate, and technology loans for middle market clients. In addition, the company offers community development financing, securities underwriting, brokerage, and investment banking services. As of February 25, 2021, it operated through a network of approximately 1,000 branches and 1,400 ATMs in 15 states, as well as additional offices, online and mobile banking capabilities, and a telephone banking call center. The company was founded in 1849 and is headquartered in Cleveland, Ohio.|PRF|KeyCorp|20254760143.0|17
XNYS|8.0||CIO-P-A|CIO-PA|CIO-PA|CIO-PA|CIOpA|CIOpA|CIO-PA|11238238.0||Normal||REAL ESTATE INVESTMENT TRUSTS|Trading|Real Estate|2025-10-29T12:30:00.000+0000||Equity Real Estate Investment Trusts (REITs)||Real Estate Investment Trusts|CIOpA|BBG00DX7THD6|6798||CIOpA:US||http://www.cityofficereit.com|||Dallas||/Y2lvcmVpdC5jb20/images/2025-04-04_logo.svg||Small Cap|Finance Insurance And Real Estate|0001593222|4480000.0|TX|US1785872003|us||United States|75201||178587200|SUITE 3210 - 666 BURRARD STREET, VANCOUVER, A1, V6C 2X8|Real Estate|True||||USD||City Office REIT, Inc. (NYSE: CIO) invests in high-quality office properties in 18-hour cities with strong economic fundamentals, primarily in the Southern and Western United States. At September 30, 2020, CIO owned office complexes comprising 5.8 million square feet of net rentable area (ÂNRAÂ).|PRF|City Office REIT, Inc.|1006668184.0|17
XNYS|8.0||REXR-P-B|REXR-PB|REXR-PB|REXR-PB|REXRpB|REXRpB|REXR-PB|384464152.0||Normal||REAL ESTATE INVESTMENT TRUSTS|Trading|Real Estate|2025-10-15T12:00:00.000+0000||Equity Real Estate Investment Trusts (REITs)||Real Estate Investment Trusts|REXRpB|BBG00J5DSTP3|6798||REXRpB:US||http://www.rexfordindustrial.com|||Los Angeles||/cmV4Zm9yZGluZHVzdHJpYWwuY29t/images/2025-04-04_logo.svg||Mid Cap|Finance Insurance And Real Estate|0001571283|3000000.0|CA|US76169C3088|us||United States|90025||76169C308|11620 WILSHIRE BOULEVARD, SUITE 1000, LOS ANGELES, CA, 90025|Real Estate|True||||USD||Rexford Industrial, a real estate investment trust focused on owning and operating industrial properties throughout Southern California infill markets, owns 232 properties with approximately 27.9 million rentable square feet and manages an additional 20 properties with approximately 1.0 million rentable square feet.|PRF|Rexford Industrial Realty, Inc.|8946898113.0|17
