fd_symbol,exchange,fd_name,fd_description,fd_currency,fd_sector,fd_industry_group,fd_industry,fd_country,fd_state,fd_city,fd_zipcode,fd_homepage_url,fd_scalemarketcap,fd_isin,fd_cusip,fd_figi,fd_composite_figi,fd_share_class_figi,standardized_symbol
A,XNYS,"Agilent Technologies, Inc.","Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,United States,CA,Santa Clara,95051,http://www.agilent.com,Large Cap,US00846U1016,00846U101,BBG000C2V541,BBG000C2V3D6,BBG001SCTQY4,A
AA,XNYS,Alcoa Corporation,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company operates through three segments: Bauxite, Alumina, and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting, casting, and rolling businesses. The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets; and flat-rolled aluminum sheets to customers that produce beverage and food cans. In addition, it owns hydro power plants that produce and sell electricity to the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016. The company was founded in 1888 and is headquartered in Pittsburgh, Pennsylvania.",USD,Materials,Materials,Metals & Mining,United States,PA,Pittsburgh,15212-5858,http://www.alcoa.com,Mid Cap,US0138721065,13872106,BBG00B3T3HK5,BBG00B3T3HD3,BBG00B3T3HF1,AA
AAC,XNYS,Ares Acquisition Corporation,"Ares Acquisition Corporation focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in New York, New York.",USD,Financials,Diversified Financials,Diversified Financial Services,United States,NY,New York,10167,,Small Cap,AU000000AAC9,,,,,AAC
AACB,XNAS,Artius II Acquisition Inc. Class A Ordinary Shares,,USD,,,,United States,,,,,Nano Cap,,,,,,AACB
AACBR,XNAS,Artius II Acquisition Inc. Rights,,USD,,,,United States,,,,,Nano Cap,,,,,,AACBR
AACBU,XNAS,Artius II Acquisition Inc. Units,"Artius II Acquisition Inc. is a blank check company formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company focuses on identifying and partnering with a high-growth business with a strong management team. Its headquarters are likely in the United States.",USD,Financials,Diversified Financials,Diversified Financial Services,United States,,,,,Nano Cap,,,,,,AACBU
AACI,XNAS,Armada Acquisition Corp. I Common Stock,"Armada Acquisition Corp. I is a special purpose acquisition company (SPAC) focused on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. SPACs like Armada Acquisition Corp. I typically seek targets in specific sectors, although their prospectus might not restrict them to a specific industry. The company is likely based in the United States.",USD,Financials,Diversified Financials,Diversified Financial Services,United States,,,,,Nano Cap,,,,,,AACI
AACIU,XNAS,Armada Acquisition Corp. I Unit,"Armada Acquisition Corp. I Unit consists of one share of common stock and a fraction of a warrant, allowing investors to potentially purchase additional shares in the future. It is offered as a package during the company's initial public offering (IPO) and separates into its component parts after a specified period. Armada Acquisition Corp. I is a SPAC, meaning its purpose is to acquire an existing private company.",USD,Financials,Diversified Financials,Diversified Financial Services,United States,,,,,Nano Cap,,,,,,AACIU
AACIW,XNAS,Armada Acquisition Corp. I Warrant,Armada Acquisition Corp. I Warrant gives the holder the right to purchase shares of common stock in Armada Acquisition Corp. I at a specified price. These warrants are often issued as part of a unit offering during the company's initial public offering (IPO). Armada Acquisition Corp. I is a SPAC searching for a company to merge with.,USD,Financials,Diversified Financials,Diversified Financial Services,United States,,,,,Nano Cap,,,,,,AACIW
AACQU,XNAS,Artius Acquisition Inc.,"Artius Acquisition Inc. was a blank check company formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company did not have any operations and did not generate any revenue. It was headquartered in New York, NY.",USD,,,,,,,,,Small Cap,,,,,,AACQU
AADI,XNAS,Aadi Bioscience Inc. Common Stock,"Aadi Bioscience, Inc. is a biopharmaceutical company focused on developing and commercializing precision therapies for genetically defined cancers. Their lead product candidate is FYARRO (sirolimus albumin-bound nanoparticles) for the treatment of advanced malignant perivascular epithelioid cell tumors (PEComa). The company is headquartered in Los Angeles, California.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,United States,,,,,Nano Cap,,,,,,AADI
AAGR,XNAS,African Agriculture Holdings Inc. Common Stock,"African Agriculture Holdings Inc. is focused on operating a diversified portfolio of controlled environment agriculture (CEA) farms that grow premium fresh produce. The company aims to produce crops sustainably and efficiently in Africa, leveraging technology and local resources. Their headquarters are located in New York, USA.",USD,Consumer Staples,"Food, Beverage & Tobacco",,United States,,,,,Nano Cap,,,,,,AAGR
AAGRW,XNAS,African Agriculture Holdings Inc. Warrant,"African Agriculture Holdings Inc. Warrant; this represents a warrant to purchase shares of African Agriculture Holdings Inc. Warrants give the holder the right, but not the obligation, to buy shares of the company at a specified price within a certain timeframe.",USD,Financials,Diversified Financials,Consumer Finance,United States,,,,,Nano Cap,,,,,,AAGRW
AAIC,XNYS,Arlington Asset Investment Corp.,"Arlington Asset Investment Corp. (NYSE: AI) is a principal investment firm that currently invests primarily in mortgage-related and other assets.  The Company is headquartered in the Washington, D.C. metropolitan area.  For more information, please visit www.arlingtonasset.com.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),United States,VA,Arlington,22209,http://www.arlingtonasset.com,Micro Cap,,,,,,AAIC
AAIC-PB,XNYS,Arlington Asset Investment Corp.,"Arlington Asset Investment Corp. (NYSE: AI) is a principal investment firm that currently invests primarily in mortgage-related and other assets.  The Company is headquartered in the Washington, D.C. metropolitan area.  For more information, please visit www.arlingtonasset.com.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),United States,VA,Arlington,22209,http://www.arlingtonasset.com,Micro Cap,,,,,,AAICPB
AAIC-PC,XNYS,Arlington Asset Investment Corp.,"Arlington Asset Investment Corp. (NYSE: AI) is a principal investment firm that currently invests primarily in mortgage-related and other assets.  The Company is headquartered in the Washington, D.C. metropolitan area.  For more information, please visit www.arlingtonasset.com.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),United States,VA,Arlington,22209,http://www.arlingtonasset.com,Micro Cap,,,,,,AAICPC
AAL,XNAS,American Airlines Group Inc.,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",USD,Industrials,Transportation,Airlines,United States,TX,Fort Worth,76155,http://www.aa.com,Mid Cap,US02376R1023,02376R102,BBG005P7Q8V5,BBG005P7Q881,BBG005P7Q907,AAL
AAN,XNYS,"The Aaron's Company, Inc.","The Aarons Company Inc. provides lease-to-own and purchase solutions. The company engages in direct-to-consumer sales and lease ownership of furniture, home appliances, electronics, and accessories through its approximately 1,300 Company-operated and franchised stores in the United States and Canada, as well as its e-commerce platform. It also manufactures and supplies bedding and upholstered furniture. As of December 31, 2020, the company had 1,092 Company-operated stores and 248 independently-owned franchised stores. The company was formerly known as Aaron's SpinCo, Inc. The Aarons Company Inc. was founded in 1955 and is headquartered in Atlanta, Georgia.",USD,Consumer Discretionary,Retailing,Specialty Retail,United States,GA,Atlanta,30339-3194,http://www.aarons.com,Small Cap,US0138721065,13872106,,,,AAN
AAON,XNAS,"AAON, Inc.","AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. It offers rooftop units, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps, self-contained units, coils, and controls. The company markets and sells its products to retail, manufacturing, educational, lodging, supermarket, medical, and other commercial industries. It sells its products through a network of manufacturers' representatives and internal sales force. The company was incorporated in 1987 and is based in Tulsa, Oklahoma.",USD,Industrials,Capital Goods,Building Products,United States,OK,Tulsa,74107,http://www.aaon.com,Mid Cap,US0003602069,360206,BBG000C2M952,BBG000C2LZP3,BBG001S6CZK0,AAON
AAP,XNYS,"Advance Auto Parts, Inc.","Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",USD,Consumer Discretionary,Retailing,Specialty Retail,United States,NC,Raleigh,27604,http://www.advanceautoparts.com,Mid Cap,US00751Y1064,00751Y106,BBG000F7RFH6,BBG000F7RCJ1,BBG001SD2SB2,AAP
